SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20140801|00162Q676|ENFR|727|ALERIAN ENERGY INFRASTRUCTURE |29.29
20140801|00162Q718|IDOG|13404|ALPS ETF TR INTL SECTOR DIVID |30.19
20140801|00162Q742|GSRA|702|ALPS/GS RISK-ADJUSTED RETURN U|33.92
20140801|00162Q775|GSGO|151|ALPS ETF TR GS MOMENTUM BUILDE|21.94
20140801|00162Q783|RIGS|880|RIVERFRONT STRATEGIC INCOME FD|25.00
20140801|00162Q858|SDOG|13691|ALPS SECTOR DIVIDEND DOGS ETF |36.83
20140801|00162Q866|AMLP|83553|ALPS ETF TR ALERIAN MLP ETF|18.47
20140801|001627108|ALJJ|2973|ALJ Regional Holdings, Inc. Co|3.17
20140801|001628106|AKABY|5|ALK ABELLO A S SPONSORED ADR (|28.82
20140801|00163U106|AMAG|2062|AMAG PHARMACEUTICALS INC COM S|19.09
20140801|00164V103|AMCX|219|AMC NETWORKS INC CLASS A COM|59.87
20140801|00165C104|AMC|28|AMC ENTMT HLDGS INC CL A COM S|22.64
20140801|00170F209|AATRL|796|AMG CAP TR II 5.15 CONV TR PFD|63.00
20140801|00191G103|ARC|7|ARC DOCUMENT SOLUTIONS INC COM|5.45
20140801|00202F102|AMKBY|3626|A.P. MOELLER-MAERSK A/S UNSPON|11.66
20140801|00206R102|T|731|AT&T INC. COM|35.59
20140801|00208D408|AETUF|18|ARC RESOURCES LTD. ORDINARY SH|27.59
20140801|00208J108|ATPAQ|9286|ATP OIL & GAS CORPORATION|0.02
20140801|00211Y209|ABIO|1772|ARCA BIOPHARMA INC (US)|1.42
20140801|00212V105|ASOMY|1555|ASOS PLC UNSPON ADR (UK)|42.31
20140801|002255107|AUO|14090|AU OPTRONICS CP ADS (10 COM)|4.42
20140801|002422301|AVTC|62|AVT INC COMMON STOCK|2.06
20140801|002444107|AVX|1928|AVX CORP|13.60
20140801|00246W103|AXTI|114|AXT INC|2.15
20140801|002474104|AZZ|21|AZZ INCORPORATED|43.64
20140801|00253U404|ASTM|17145|AASTROM BIOSCIENCES INC COM ST|3.17
20140801|002535300|AAN|600|AARON'S INC COM STK|26.38
20140801|002824100|ABT|3200|ABBOTT LABS;COM NPV|42.12
20140801|00287Y109|ABBV|85036|ABBVIE INC COM STK (DE)|52.34
20140801|002896207|ANF|839|ABERCROMBIE & FITCH CO CL-A|39.34
20140801|00301T102|ETF|535|ABERDEEN EMERGING MKTS SMALLER|14.30
20140801|00301W105|CH|300|ABERDEEN CHILE FUND INC|9.96
20140801|00305P106|IF|737|ABERDEEN INDONESIA FUND, INC C|10.03
20140801|00306J109|JEQ|2003|ABERDEEN JAPAN EQUITY FD INC C|7.28
20140801|00306K106|LAQ|3786|ABERDEEN|29.65
20140801|003654100|ABMD|6176|ABIOMED INC|25.60
20140801|003881307|ACTG|28090|ACACIA RESEARCH CORP AR ACIACI|17.06
20140801|004225108|ACAD|4700|ACADIA PHARMACEUTICALS INC|20.27
20140801|004239109|AKR|3769|ACADIA REALTY TRUST|28.23
20140801|00430K105|ACST|751|ACASTI PHARMA INC CL A SHS (CD|1.00
20140801|004337101|ANCX|420|ACCESS NATIONAL CORP|16.00
20140801|00434H108|XLRN|1218|ACCELERON PHARMA INC|29.62
20140801|00434L109|ACMP|8074|ACCESS MIDSTREAM PARTNERS LP U|60.22
20140801|00438V103|ACHI|46987|ACCRETIVE HEALTH, INC COMMON S|8.42
20140801|00439T206|ACW|528|ACCURIDE CORPORATION NEW COMMO|5.00
20140801|004397105|ARAY|102|ACCURAY INCORPORATED COM STK|7.87
20140801|00444E103|ANIOY|500|Acerinox SA Unsponsored ADR (S|8.32
20140801|00444T100|ACRX|204357|ACELRX PHARMACEUTICALS INC COM|6.96
20140801|004446100|ACET|95|ACETO CORP|16.76
20140801|00448Q201|ACHN|1960|ACHILLION PHARMACEUTICALS, INC|6.85
20140801|004498101|ACIW|14|ACI WORLDWIDE INC COM STK (DE)|18.74
20140801|004848107|ACFN|647|ACORN ENERGY INC COM STK|2.15
20140801|005051206|AHFD|459575|ACTIVE HEALTH FOODS, INC. COMM|.
20140801|00507V109|ATVI|186956|ACTIVISION BLIZZARD INC COM ST|22.38
20140801|00507W107|ATNM|1080|ACTINIUM PHARMACEUTICALS, INC.|6.31
20140801|00508Y102|AYI|275|ACUITY BRANDS INC (HOLDING COM|107.27
20140801|00509L703|ACUR|7393|Acura Pharmaceuticals, Inc. Ne|1.04
20140801|00511R854|ACUS|421|ACUSPHERE, INC. (NEW) COMMON S|0.80
20140801|00547W208|ADMP|267|ADAMIS PHARMACEUTICALS CORP CO|3.77
20140801|00548A106|ADMS|619|ADAMAS PHARMACEUTICALS INC COM|15.91
20140801|006212104|ADX|89|ADAMS EXPRESS CO|13.64
20140801|006351308|AE|23|ADAMS RES & ENERGY NEW|65.34
20140801|00650W409|ADKPRA|563|ADCARE HEALTH SYS INC REDEEMAB|26.65
20140801|00652J208|ADTMD|5|ADAPTIVE MEDIAS, INC. NEW COMM|2.85
20140801|006754204|AHEXY|329|Adecco SA Unsponsored ADR (Swi|37.50
20140801|006854202|ADEP|1512|ADEPT TECHNOLOGY, INC. NEW|9.10
20140801|006855100|ADPT|15|ADEPTUS HEALTH INC, CLASS A CO|25.74
20140801|00687A107|ADDYY|2683|ADIDAS AG SPONSORED ADR (GERMA|39.75
20140801|00709P108|PVD|4638|ADMIN FONDOS PENSIONS ADS(RP15|90.19
20140801|007192107|AMIGY|278|ADMIRAL GROUP PLC, CARDIFF UNS|24.60
20140801|00738A106|ADTN|48|ADTRAN INC|22.24
20140801|00750W101|CANN|500|ADVANCED CANNABIS SOLUTIONS, I|5.00
20140801|00756M404|ASX|49442|AMER SEMI-COND ENG ADS (5CMSH)|5.99
20140801|00760J108|AEHR|10283|AEHR TEST SYSTEMS|2.74
20140801|00762V109|AEGXF|100|AECON GROUP INC.|15.02
20140801|007624117|ADXSW|351|ADVAXIS INC WARRANTS EXP 07/15|1.04
20140801|007624208|ADXS|1723|ADVAXIS, INC. COMMON STOCK|2.84
20140801|007627102|AONNY|984|AEON CO LTD ADR|11.31
20140801|007639107|AGC|1163|ADVENT CLAYMORE CONV SECS &|7.18
20140801|00765E104|LCM|987|ADVENT/CLAYMORE ENHANCED GROWT|10.08
20140801|00765F101|AAV|8250|ADVANTAGE OIL & GAS LTD COM|5.34
20140801|00765G109|AOLS|690|AEOLUS PHARMACEUTICALS INC|0.34
20140801|00766T100|ACM|377|AECOM TECHNOLOGY CORP|33.95
20140801|00767E102|AEGR|2940|AEGERION PHARMACEUTICALS INC|33.61
20140801|00768Y206|AADR|82|ADVISORSHARES TR WCM/BNY MELLO|38.00
20140801|00768Y503|HYLD|572|ADVISORSHARES TRUST PERITUS HI|51.97
20140801|00768Y636|MULT|200|ADVISORSHARES SUNRISE GLOBAL M|24.46
20140801|00768Y677|GGBP|200|ADVISORSHARES GARTMAN GOLD/BRI|12.35
20140801|00768Y693|GLDE|51|ADVISORSHARES INTERNATIONAL GO|12.62
20140801|00768Y727|MINC|38229|ADVISORSHARES TR NEWFLEET MULT|49.82
20140801|00768Y735|DBIZ|266|ADVISORSHARES TR PRING TURNER |28.71
20140801|00768Y743|EPRO|55|ADVISORSHARES EQUITYPRO ETF|31.68
20140801|00768Y800|GTAA|5875|ADVISORSHARES MORGAN CREEK GLO|25.73
20140801|00768Y834|FWDB|718|MADRONA GLOBAL BOND ETF|26.10
20140801|00768Y842|FWDI|1242|MADRONA INTERNATIONAL ETF|29.28
20140801|00768Y859|FWDD|7355|MADRONA DOMESTIC ETF|40.66
20140801|00770C101|ADES|12|ADVANCED EMISSIONS SOLUTIONS I|21.39
20140801|00770F104|AEGN|1300|AEGION CORP COM STK (DE)|22.91
20140801|007767106|ARX|3|AEROFLEX HLDG CORP (DE)|10.56
20140801|007786106|HIVE|47|AEROHIVE NETWORKS INC COM STK |8.40
